,user_id,post_lemmatized,likes,comments,reposts
31,%D0%B0%D1%80%D1%82%D1%91%D0%BC-%D1%81%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE-526433232,хватать бизнес мир видеоигр интерактива,0,0,0
32,%D0%B0%D1%80%D1%82%D1%91%D0%BC-%D1%81%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE-526433232,подробный обсуждение метод принятие оптимальный решение,0,0,0
33,%D0%B0%D1%80%D1%82%D1%91%D0%BC-%D1%81%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE-526433232,первый интервью получиться создать система поддержка принятие решение малое бизнеса советский математический разработка действии,0,0,0
34,anton-kartunov-97415661,радость сообщаю оказывать бизнес услуга просмотреть страница услуга разработка приложений разработка приложений проектирование пользовательский интерфейс разработка мобильный приложений разработка приложений тестирование консалтинг бизнес аналитика,2,0,0
35,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,спокойный приятный выходной,0,0,0
36,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,новый рубрика мем подписчиков переделать надпись сверху прям тз заказчика,0,0,0
37,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,привет новый кейс расскажем запустить интернет магазин добавить каталог товар разработать приложение выполнить комплекс работа обеспечить приток органический трафик сайт подробно узнать,0,0,0
38,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,сегодня произойти ситуация взять утро июнь экскурсия аквапарк человек старший детей оплата перевод тинькофф гид отеля ночью средний дочь становиться плохо тошнит день температура понятный дело завтра никуда поедем писать гид отменить поездка вернуть деньги ответ прийти скриншот пользовательский соглашение следующий условиями возврат деньга возможный спустя час бронирование поездка час бронирование поездка возврат стоимость переть пункт поездка остаться менее часов деньга возврат подлежат поздний час заказ деньга возврат подлежать вызвать ребёнок скорый справка медиков любой расклад ребёнок вернуть деньги вызов скорый евро остальной покрывать страховка половина стоимость билета оплатить ещё пара час потратить общение врач оформление документов ребёнок настолько плохо вызывать скорую естественно никто давать почитать договор бронирование предоплата билета всё пишу посетовать судьбу видеть случай аж несколько аналогия бизнесом гид классический менеджер продажам красиво рассказать плюс продукта продал рассказать никакой юридический нюанс звёздочка договора мораль менеджер продажам продажа рассказывать ваш клиент всё нюансы хотя бегло говорить обратить внимание пункт договора подобный деталь никак повлиять отказ клиента помнить предупредили готовый брать ответственность думать негативно непредвиденный случиться заранее предупредили всё честно отдельный прикол приём платёж перевод тинькофф отпуск обычно расслабон обращать внимание понимаю переводить рублях цена доллар сверху официальный курс цб рф накинуть рублей перевод улыбнулся мол прикольно человек зарабатывают ещё год бизнес привыкнуть платить опыт ничто отрезвлять заставлять мозг работать другому понимание ситуация позволить обмануть недоглядел недопонял предусмотрел деньга самый ужасный плата ошибка опыт зато самый легко измеримая нужно учиться чужой ошибках ошибка заплатить деньга вобъться голова повлиять гораздо сильнее мораль внимательный ошибиться заплатить опыт деньгами нормально очень отрезвлять делать подобный ошибка будущее менять мышление привычки вопрос пока решить перенос поездка июнь предпоследний день отпуска,1,0,0
39,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,привет инсайт первый день отпуска отель огонь красиво уютно вкусно гора море минута шаттле вообще очень понимать ехать море отеля ребёнок просят всё равно выбраться хотя разок впервые жизнь отдыхать называть вилле видимо семья ребёнок обычный номерной фонд подходит нравиться английский прям фу всё забыл стать корявый разговаривать тупить формулировка мыслей поработать подумать план совершенствоваться направлении ребята подразделение создание продвижение сайт день сделать продажи хотя сделать месяца видимо мешать частый отдыхать дело всё сложный проект продажа стать неожиданность время подойти логически закрыть проекты всё равно большой нравиться мысль предыдущий предложения ещё голова начало работать другому пожалуй написать позже пока пара видовой фоточек вид балкон вилла вид бассейн виллы,3,1,0
40,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,привет сегодня семья улетать отпуск турция июнь включительно близкий день очень связи постить соцсеть постараюсь факт регулярно факт бизнесовый вдумчивый контент хотеть отдохнуть посмотрим резко нахлынуть вдохновение захотеться поделиться июнь делать пост конференция курс школа вчера общаться куратор направления предварительно всё получается старт июня предстоять пообщаться ещё коллега куратор всё утвердить окончательно финальный решение написать тему добра забывать отдыхать делиться комментарий отдыхать планировать отдохнуть,0,0,0
41,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,общение управлять компания удобным комфортный оперативным заказчик управлять компания тсн администрировать несколько десяток коттеджный поселков решить создать удобный веб сервис мобильный приложение соответствие концепция жилец контролировать расход настраивать автоплатежи просматривать юридический документ поддерживать связь ук узнавать новость план благоустройству принимать участие опрос голосование онлайн управлять аккаунт ноутбук мобильный телефона многое другое подробно узнать проект кейсе,0,0,0
42,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,гореть сроки сайт запускается,1,0,0
43,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,мем неделя трудолюбивый серега,3,0,0
44,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,вчера июня конференция внезапно предложить вести курс сначала сказать конференции клуб предпринимателей деятельность охватывать множество сфер мероприятие проходить пространство точка кипение гуу залах разделить тематика выступлений зал примерно место занимать всё пространство первый этаж большой сценой остальной семинарский аудитория второй этаже вспомнить студенческий год понастольгировал очень понравилось необычный формат нетворкинга давать микрофон рука рассказать занимаешься познакомиться несколько людьми интересный услуги выступление спикер очень полезны самый главное интерактивный спикер общаться аудиторией задавать отвечать вопрос ход выступления выступление слушатель разбить группа проводить мозговой штурм обязательно прийти сюда ещё повод обучения курс школа бесплатный возможность начинающий действовать владелец бизнеса хотеть большой узнать сайты текущий преподаватель смочь продолжать ведение курс поиск новый человека смочь заменить пн обсуждать получиться стать самый человеком пока договоренность хотеться верить всё получится школа обалденный возможность набраться опыт выступление передать полезный инф человек некоммерческий основе давно мысль повод организация собственный курсов знание опыт очень предложение толчок вселенная начать воплощать давно задуманное получиться вести курс обязательно написать следить новостями конференция школа,3,0,0
45,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,привет продолжать тема справляться многозадачностью рассказать практику писать выше фанат приложение взгляд иметь необходимый функционал эффективный управление личным рабочий временем ссылка иснтрумент информация пользоваться приложение интернет довольно отобрать статьи полностью описывать функционал найти статья видео ролике поэтому добавить полезный инф немного рабочий увидеть картинка ниже ваш выглядеть установить расширение браузер смочь легко сортировать заметка ярлыкам цветам помочь сохранять любой фрагмент текста ссылки картинка сохранять всё вид заметка коротко пользоваться лично всё сфера жизнь сразу заводить ярлык категории всё заметка сортировать выделять различный цветами заметка постоянно использовать чек лист иерархический сортировку самый распространить вид заметка план неделю расписать каждый днем выглядеть заметка примерно напоследок любитель учиться новый видео прикладывать ссылка несколько ютуба роликов быстрый обзор основный функция описать статья выше полный подробный обзор общий обзор гугл кипа конец прикольно показать задружить гугл кипа гугл календарь прикольно показать перекидывать информация гугл док гугл кипа обратно,1,0,0
46,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,предыдущий пост начать рассказывать многозадачность продолжать мысль планирование планирование бывать долгосрочное среднесрочный краткосрочное первый вид разбирать тк идти речь десятилетиях год месяцах остановиться близкий перспективе планирование неделя каждый день неделе человеческий мозг устроенный планировать либо простой поздний вечером ранний утром выбрать вариант подходить именно план комфортный ощущение эффективности время занимать пара минута час всё зависеть ваш производительности темперамент количество планировать задач планировать каждый день грядущий неделя выходной начало основное воскресение вечером течение рабочий день корректировать план некоторый день исходить поступать задач каждый рабочий день задача день требовать полный сосредоточенность вовлеченности остальной задача встречисозвон мелкий задача минута написать оплатить тп важно стоить планировать день плотно утро вечера идеал оставлять промежуток час оперативно встроить срочный задачи необходимо решить именно день несколько день рекомендовать делать перерыв минута отдыха пора получаться далеко правда делать продуктивность возрастает выполнение составить план день просто следовать стараться встраивать график свежий срочный задачи большинство случай задача перенести день приходить действительно срочный требовать отлагательства сделать промежуток времени оставить незапланированный дел обещать ссылка аудио книга тайм драйв,0,0,0
47,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,пора начать публиковать пост соцсетях личка написать довольно человек различный вопросами предложение просьба поделиться опыт делать иной вещи сегодня пост вопросов совпасть пара человек справляться многозадачностью разделить тема поста сегодня теория завтра практика опыта итак немного теории прочитать послушать книга глеб архангельский тайм драйв внедрить жизнь хотя часть говорится удивиться преобразиться ваш жизнь кроме шуток шок простой приём полезный привычка управление время описать книга менять жизнь мышление принцип закончить пост информация книга исчерпывающая говорить любимый ютуба канал редакция мало время ценим расписать коротко принцип управление временем конец пост дать ссылка аудио книгу дочитать конца фиксация задачи справляться многозадачностью начало должный появиться самый множество задач каждый задача записать появляться новый задача сразу записывать надеяться память важно делать бумажный ежедневник стикеры избранный сообщение любой приложение ведение заметка задача любо системе главное выгрузить голова зафиксировать любой письменный виде бумага файл диск всё стерпят ваш память резиновая фиксировать задача удобно лично точно забыть посмотреть минимум несколько день освежить голова список завтра пост расскажу делать важно должный выбрать комфортный способ запись задач иначе процесс нервировать выработать закрепить привычка фиксация дел распределение задача приоритетам использовать принцип матрица эйзенхауэра подробно писать пост заглянуть туда,0,0,0
48,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,хей выходной продвигаются отдых важный часть работа обязательно нужно добавлять план недели забывать дышать свежий воздухом пока улица светить солнце,3,0,0
49,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,правда бизнес меме надеюсь всё отдыхать несмотря погоду,0,0,0
50,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,разработать приложение помогать действовать будущее учёный быстро решать монотонный задачи связанный проведение эксперимент биологический лабораториях создать мобильный приложение английский языке предусмотреть необходимый функционал научный исследование биолабораториях подробно,0,0,0
51,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,побывать конференция июня интересный необычный мероприятие масштабный реклама сервис познакомиться несколько людьми всё тематика немного поэтому сказать нетворкинг просто агентства организация крутая красивый стенды хороший спикер вкусный еда связать тема продуктовый подход обязательно посетить следующий году,0,0,0
52,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,привет сегодня выставка июнь цвк экспоцентр прошлый год сказать год всё стать гораздо масштабнее куча красивый стенд новый человек получить перспективный сотрудничество контакт коллега цеху компаний интересный услуги действительно наслаждаться время круто организовано чувствую поездка очень продуктивная обязательно вернуться следующий году,0,0,0
53,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,привет команда опубликовать статья хороший сервисы пользуется,0,0,0
54,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,привет хотеть поделиться значимый событие команда впервые выставить стенд конференция юг проходить новороссийск июня юг небольшим уютный мероприятием приятный атмосфера хороший нетворкинг рада принять участие спасибо возможность выставить стенд совместный стенд проект блокчейнпро оформить фирменный стиль компаний вместе предлагать услуга разработка продвижение блокчейн проектов выступать партнерстве привлечь внимание многий участник конференции кроме команда получить ценный контактов безусловно важный будущий работа партнерства целом первый выставка конференция юг отличный опытом получить полезный информация рынок криптовалюта блокчейн технологий также смочь встретиться многий интересный людьми спасибо организатор юг партнёр блокчейн ссылка сайт ждем смочь посетить следующий конференцию,0,0,0
55,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,привет хотеть поделиться новость сервис май команда провести ряд обновлений значительно улучшить опыт работа пользователей доделать инструмент анализ страницы значительно расширить функционал добавить анализ переспама рекомендация улучшение релевантность страница планировать выпустить близкий время полноценный статья видео инструкция обновление раздел сервиса добавить фильтр урла раздел сбор позиций появиться фильтрация конкретный страница сайт просмотр динамика позиция поисковый системах добавить поисковый система менеджер задач смочь отслеживать поисковый система яндекс осуществить сбор позиций обновить модуль календарь монитор позиций календарь раздел сбор позиций стать гораздо удобный использование добавить возможность выбор любой дат раздел сбор позиций добавить столбец дата тегирование страниц столбец называться тегирование немой указать дата последний тегирование конкретный страницы кроме навести курсор дату всплывать окно показать всё предыдущий тегирование страницы графика раздел сбор позиций добавить вертикальный линии показывать дата тегирования также наглядно отслеживать тегирование страница ваш сайт видеть влиять изменение позиция поисковый система течение времени легко сравнить изменение позиция тегирование страницы также узнать сколько время пройти последний тегирования кнопка запрос протегированный страницами раздел сбор позиций добавить новый кнопка запрос протегированный страницами включение отфильтровываться дать динамика позиция запрос протегировать ранее страниц сохранять настройка фильтр статистика раздел сбор позиций сервис запоминать выбрать параметр просмотр график количество запрос топ топ топ топ топ обнулять переход графика соседний вкладок выгрузка позиций урлов каждый дата сбора экспорт данные динамика позиция запрос формат таблица выгружаться дать позиция поисковый выдача сайт выбрать диапазон дат ссылка релевантный каждый конкретный запрос каждый дата сбор позиций количество активный тег раздел страница проекта просматривать показатель сайта большой прийтись самостоятельно считать активный тег каждый протегировать страница сервис автоматически подсчитать вывести отдельный колонку сервис сайт компании,0,0,0
56,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,команда опубликовать информативный статья канал продвижения ещё определились канал выбрать привлечь большой клиент увеличить прибыль статья ниже,0,0,0
57,%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D0%BE%D1%83%D1%81%D0%BE%D0%B2-630355101,продолжать тема матрица эйзенхауэра первый картинка пост расписать алгоритм принятие решение являться задача важный срочной добавить предприниматель главный показатель важность срочность задача деньги влиять выполнение выполнение задача ваша компании стать большой маленький деньга краткосрочный перспектива сумма деньга чреватый выполнение выполнение задачи одинаково важно плюс минус сработать задача решать стоить суетиться большой заработать наоборот потерять принимать решение основа цифра отрезвляет второй картинка скриншот часть шаблонный заметка всё приходящий неделя задача выписывать список чек боксами переносить соответствующий группа срочность важности задача выполнена просто нажать исчезать список дело очень удобно советую ещё рассказывать будущий постах,1,0,0
